"","x"
"1",1.01725894665285
"2",0.847625731044775
"3",0.881240212574326
"4",0.972641699526053
"5",0.950170557692343
"6",1.13566331768752
"7",0.897112733208003
"8",0.878159528416924
"9",0.862656705572968
"10",1.15184582926883
"11",1.07142391305443
"12",0.865663526804263
"13",1.05494221291535
"14",1.15223451908486
"15",1.00892231921908
"16",1.03611283843753
"17",0.80135693975103
"18",0.853209727664593
"19",1.02693473257822
"20",1.04889833734417
"21",0.968931911482569
"22",1.19135052560648
"23",1.24217045358071
"24",0.910787958371981
"25",1.11757780931424
"26",0.847674178708144
"27",1.29310939823211
"28",1.08365652896909
"29",1.1195501197241
"30",0.924154224878027
