"","x"
"1",-0.587044652214611
"2",0.883467796608967
"3",0.465985909605379
"4",-1.75364534597234
"5",-0.508358191098362
"6",1.36930249174845
"7",-0.9255257636376
"8",0.27123367500349
"9",-1.47006013834393
"10",-0.115868897783277
"11",1.18305060702227
"12",0.232111621555702
"13",-0.0463709387946917
"14",-1.9784020486464
"15",0.926843928695035
"16",0.497306096312585
"17",1.00409060421923
"18",1.00597848250412
"19",-0.843634008171359
"20",-0.147338053189092
"21",0.686499750409973
"22",1.08607442555633
"23",-1.72803400978394
"24",-1.2439170895089
"25",-1.2339832870851
"26",2.07532170262862
"27",0.562641735045591
"28",1.63192521688849
"29",1.1355211267696
"30",-0.630332187507594
