ID	x
1	0.476424029
2	-1.210791359
3	-0.338146691
4	2.360281359
5	2.245204453
6	0.696321313
7	-0.274078083
8	-0.659864583
9	-0.527639466
10	0.192416852
11	-0.527194861
12	-1.164444163
13	-0.44217455
14	-0.599667267
15	-0.834929045
16	-1.191086439
17	-0.062115133
18	-1.279642631
19	1.188697613
20	-0.373030729
21	-0.054206054
22	-0.513356365
23	0.44152563
24	-0.668953381
25	-0.954021094
26	0.710860143
27	0.51678602
28	-0.591685802
29	-2.1629309
30	-0.173266167
31	-2.512000745
32	-0.258739776
33	1.256665577
34	0.373248179
35	1.915461863
36	0.014241379
37	1.629436212
38	-0.968627305
39	-0.336004738
40	0.267086117
41	0.02272534
42	-0.205296242
43	3.011319445
44	0.463399585
45	4.767903924
46	-0.479168666
47	0.565040068
48	-1.019058621
49	1.676858552
50	0.028632055
51	-2.707764061
52	-0.248543
53	-0.638620697
54	0.553187179
55	0.13856171
56	-0.25025669
57	-0.928871196
58	-0.621272186
59	0.868224469
60	-1.04198776
61	1.645459844
62	-4.529540237
63	0.8124674
64	0.771149264
65	-0.337832135
66	-0.789977175
67	1.046476147
68	-0.838637964
69	4.362617631
70	0.229446513
71	2.570120198
72	-0.38648574
73	-4.516665045
74	-0.651105834
75	0.923467817
76	0.989815013
77	1.267150695
78	1.057368509
79	1.076439382
80	0.332618321
81	-2.158262765
82	0.192999012
83	-0.528903709
84	-1.560955734
85	-0.089500455
86	0.683977589
87	0.201030808
88	0.726140765
89	-0.266287875
90	1.296252537
91	-0.162810401
92	2.001539075
93	-1.4897988
94	2.178249535
95	0.622097611
96	-1.530919772
97	0.504344379
98	0.955429994
99	0.362205845
100	-0.408315689
